Município;UF;População (Censo 2022);TGCA (% a.a.);PIB total (R$ mil);PIB per capita (R$);Quadrante;Linha — ponderação limitada (%);Distância da linha limitada (p.p.);Prioridade — limitada;Linha — ponderação integral (%);Distância da linha integral (p.p.);Prioridade — integral
Aparecida;SP;32569;-0,6;1369698,939;42055,3;Pequenas · estagnadas;1,5581;-2,1581;Não prioritário;1,7013;-2,3013;Não prioritário
Araraquara;SP;242228;1,25;14689500,266;60643,28;Grandes · crescendo;1,0836;0,1664;Prioritário;1,1198;0,1302;Prioritário
Araras;SP;130866;0,81;10022873,262;76588,83;Grandes · crescendo;1,2292;-0,4192;Não prioritário;1,2982;-0,4882;Não prioritário
Araçatuba;SP;200124;0,81;11457739,505;57253,2;Grandes · crescendo;1,1287;-0,3187;Não prioritário;1,1751;-0,3651;Não prioritário
Araçoiaba da Serra;SP;32443;1,45;1523193,918;46949,85;Pequenas · crescendo;1,5591;-0,1091;Não prioritário;1,7024;-0,2524;Não prioritário
Artur Nogueira;SP;51456;1,28;2162832,741;42032,66;Pequenas · crescendo;1,45;-0,17;Não prioritário;1,5687;-0,2887;Não prioritário
Arujá;SP;86678;1,22;10426127,299;120285,74;Grandes · crescendo;1,3266;-0,1066;Não prioritário;1,4176;-0,1976;Não prioritário
Assis;SP;101409;0,53;4682609,402;46175,48;Grandes · crescendo;1,2895;-0,7595;Não prioritário;1,3721;-0,8421;Não prioritário
Atibaia;SP;158647;1,9;9426583,645;59418,61;Grandes · crescendo;1,1837;0,7163;Prioritário;1,2424;0,6576;Prioritário
Avaré;SP;92805;0,94;4408538,237;47503,24;Grandes · crescendo;1,3105;-0,3705;Não prioritário;1,3978;-0,4578;Não prioritário
Bady Bassitt;SP;27260;5,34;762195,13;27960,2;Pequenas · crescendo;1,6002;3,7398;Prioritário;1,7529;3,5871;Prioritário
Bariri;SP;31595;0;1863763,724;58989,2;Pequenas · estagnadas;1,5653;-1,5653;Não prioritário;1,7101;-1,7101;Não prioritário
Barra Bonita;SP;34346;-0,22;2077900,588;60499,06;Pequenas · estagnadas;1,5456;-1,7656;Não prioritário;1,6859;-1,9059;Não prioritário
