Município;UF;População (Censo 2022);TGCA (% a.a.);PIB total (R$ mil);PIB per capita (R$);Quadrante;Linha — ponderação limitada (%);Distância da linha limitada (p.p.);Prioridade — limitada;Linha — ponderação integral (%);Distância da linha integral (p.p.);Prioridade — integral
Esmeraldas;MG;85598;3,05;1314690,511;15358,89;Grandes · crescendo;1,3296;1,7204;Prioritário;1,4212;1,6288;Prioritário
Espinosa;MG;30443;-0,18;472196,909;15510,85;Pequenas · estagnadas;1,5741;-1,7541;Não prioritário;1,7208;-1,9008;Não prioritário
Extrema;MG;53482;5,35;20204998,576;377790,63;Pequenas · crescendo;1,4408;3,9092;Prioritário;1,5575;3,7925;Prioritário
Formiga;MG;68248;0,39;2969264,149;43506,98;Grandes · crescendo;1,3832;-0,9932;Não prioritário;1,4869;-1,0969;Não prioritário
Frutal;MG;58588;0,76;4026768,689;68730,26;Pequenas · crescendo;1,4193;-0,6593;Não prioritário;1,5311;-0,7711;Não prioritário
Governador Valadares;MG;257171;-0,21;8612265,515;33488,48;Grandes · estagnadas;1,0694;-1,2794;Não prioritário;1,1024;-1,3124;Não prioritário
Guanhães;MG;32244;0,26;1284431,621;39834,75;Pequenas · estagnadas;1,5605;-1,3005;Não prioritário;1,7042;-1,4442;Não prioritário
Guaxupé;MG;50911;0,25;2431559,589;47760,99;Pequenas · estagnadas;1,4525;-1,2025;Não prioritário;1,5718;-1,3218;Não prioritário
Ibirité;MG;170537;0,63;3235632,471;18973,2;Grandes · crescendo;1,1666;-0,5366;Não prioritário;1,2215;-0,5915;Não prioritário
Igarapé;MG;45847;2,31;1401823,85;30576,13;Pequenas · crescendo;1,4773;0,8327;Prioritário;1,6022;0,7078;Prioritário
Ipatinga;MG;227731;-0,42;16870238,851;74079,68;Grandes · estagnadas;1,0982;-1,5182;Não prioritário;1,1376;-1,5576;Não prioritário
Itabira;MG;113343;0,27;7434200,081;65590,29;Grandes · estagnadas;1,2632;-0,9932;Não prioritário;1,3399;-1,0699;Não prioritário
Itabirito;MG;53365;1,35;7160444,102;134178,66;Pequenas · crescendo;1,4414;-0,0914;Não prioritário;1,5582;-0,2082;Não prioritário
Itajubá;MG;93073;0,22;4497959,389;48327,22;Grandes · estagnadas;1,3098;-1,0898;Não prioritário;1,397;-1,177;Não prioritário
Itamarandiba;MG;32948;0,2;669899,563;20332,03;Pequenas · estagnadas;1,5554;-1,3554;Não prioritário;1,6979;-1,4979;Não prioritário
Itaúna;MG;97669;1,12;4975969,03;50947,27;Grandes · crescendo;1,2984;-0,1784;Não prioritário;1,383;-0,263;Não prioritário
Ituiutaba;MG;102217;0,42;4975265,394;48673,56;Grandes · crescendo;1,2876;-0,8676;Não prioritário;1,3698;-0,9498;Não prioritário
Iturama;MG;38295;0,88;2864935,043;74812,25;Pequenas · crescendo;1,5198;-0,6398;Não prioritário;1,6543;-0,7743;Não prioritário
Janaúba;MG;70699;0,47;1965161,025;27796,16;Grandes · crescendo;1,3748;-0,9048;Não prioritário;1,4767;-1,0067;Não prioritário
Januária;MG;65150;-0,04;1040488,653;15970,66;Grandes · estagnadas;1,3942;-1,4342;Não prioritário;1,5003;-1,5403;Não prioritário
Jaíba;MG;37660;0,95;969913,796;25754,48;Pequenas · crescendo;1,5238;-0,5738;Não prioritário;1,6592;-0,7092;Não prioritário
João Monlevade;MG;80187;0,72;4286349,25;53454,42;Grandes · crescendo;1,345;-0,625;Não prioritário;1,4402;-0,7202;Não prioritário
João Pinheiro;MG;46801;0,52;2562731,629;54758,05;Pequenas · crescendo;1,4724;-0,9524;Não prioritário;1,5962;-1,0762;Não prioritário
Juatuba;MG;30716;2,75;2124349,302;69161;Pequenas · crescendo;1,572;1,178;Prioritário;1,7183;1,0317;Prioritário
Juiz de Fora;MG;540756;0,39;23271627,261;43035,36;Grandes · crescendo;0,8936;-0,5036;Não prioritário;0,887;-0,497;Não prioritário
Lagoa Santa;MG;75145;3,03;2825380,37;37599,05;Grandes · crescendo;1,3604;1,6696;Prioritário;1,459;1,571;Prioritário
Lagoa da Prata;MG;51412;0,93;2471545,415;48073,32;Pequenas · crescendo;1,4502;-0,5202;Não prioritário;1,569;-0,639;Não prioritário
Lavras;MG;104761;1,07;3916681,627;37386,83;Grandes · crescendo;1,2818;-0,2118;Não prioritário;1,3627;-0,2927;Não prioritário
Leopoldina;MG;51145;0;1344583,254;26289,63;Pequenas · estagnadas;1,4514;-1,4514;Não prioritário;1,5705;-1,5705;Não prioritário
Machado;MG;37684;-0,22;1406358,331;37319,77;Pequenas · estagnadas;1,5236;-1,7436;Não prioritário;1,659;-1,879;Não prioritário
Manhuaçu;MG;91886;1,21;3710638,12;40383,06;Grandes · crescendo;1,3128;-0,1028;Não prioritário;1,4007;-0,1907;Não prioritário
Mariana;MG;61387;1,04;4656946,097;75862,09;Grandes · crescendo;1,4082;-0,3682;Não prioritário;1,5176;-0,4776;Não prioritário
Mateus Leme;MG;37841;2,59;1095993,715;28963,13;Pequenas · crescendo;1,5227;1,0673;Prioritário;1,6578;0,9322;Prioritário
Matozinhos;MG;37618;0,86;1895425,771;50386,14;Pequenas · crescendo;1,5241;-0,6641;Não prioritário;1,6595;-0,7995;Não prioritário
Monte Carmelo;MG;47692;0,34;1957160,563;41037,5;Pequenas · estagnadas;1,4679;-1,1279;Não prioritário;1,5907;-1,2507;Não prioritário
Montes Claros;MG;414240;1,13;13326238,602;32170,33;Grandes · crescendo;0,9567;0,1733;Prioritário;0,9642;0,1658;Prioritário
Muriaé;MG;104108;0,27;3211391,402;30846,73;Grandes · estagnadas;1,2833;-1,0133;Não prioritário;1,3645;-1,0945;Não prioritário
Nanuque;MG;35038;-1,27;1074888,835;30677,8;Pequenas · estagnadas;1,5409;-2,8109;Não prioritário;1,6801;-2,9501;Não prioritário
Nova Lima;MG;111697;2,71;12447551,06;111440,33;Grandes · crescendo;1,2667;1,4433;Prioritário;1,3441;1,3659;Prioritário
Nova Serrana;MG;105552;3,04;3936357,77;37293,07;Grandes · crescendo;1,28;1,76;Prioritário;1,3605;1,6795;Prioritário
Oliveira;MG;39262;-0,04;1463236,82;37268,52;Pequenas · estagnadas;1,5139;-1,5539;Não prioritário;1,6471;-1,6871;Não prioritário
Ouro Branco;MG;38724;0,78;4310767,094;111320,29;Pequenas · crescendo;1,5172;-0,7372;Não prioritário;1,6511;-0,8711;Não prioritário
Ouro Fino;MG;32094;0,14;1223791,087;38131,46;Pequenas · estagnadas;1,5616;-1,4216;Não prioritário;1,7055;-1,5655;Não prioritário
Ouro Preto;MG;74821;0,52;6765810,317;90426,62;Grandes · crescendo;1,3614;-0,8414;Não prioritário;1,4602;-0,9402;Não prioritário
Paracatu;MG;94023;0,87;6798922,469;72311,27;Grandes · crescendo;1,3074;-0,4374;Não prioritário;1,394;-0,524;Não prioritário
Pará de Minas;MG;97139;1,2;5161430,074;53134,48;Grandes · crescendo;1,2997;-0,0997;Não prioritário;1,3846;-0,1846;Não prioritário
Passos;MG;111939;0,43;4080105,786;36449,37;Grandes · crescendo;1,2661;-0,8361;Não prioritário;1,3435;-0,9135;Não prioritário
Patos de Minas;MG;159235;1,13;8151368,621;51190,81;Grandes · crescendo;1,1828;-0,0528;Não prioritário;1,2413;-0,1113;Não prioritário
Patrocínio;MG;89826;0,71;4895785,022;54502,98;Grandes · crescendo;1,3182;-0,6082;Não prioritário;1,4073;-0,6973;Não prioritário
Pedro Leopoldo;MG;62580;0,53;2514376,518;40178,6;Grandes · crescendo;1,4037;-0,8737;Não prioritário;1,512;-0,982;Não prioritário
Pirapora;MG;55606;0,34;3361259,131;60447,78;Pequenas · estagnadas;1,4316;-1,0916;Não prioritário;1,5462;-1,2062;Não prioritário
Piumhi;MG;36062;1,03;1568574,297;43496,6;Pequenas · crescendo;1,534;-0,504;Não prioritário;1,6718;-0,6418;Não prioritário
Pompéu;MG;31047;0,54;1229908,179;39614,4;Pequenas · crescendo;1,5695;-1,0295;Não prioritário;1,7152;-1,1752;Não prioritário
Ponte Nova;MG;57776;0,06;2594058,94;44898,56;Pequenas · estagnadas;1,4226;-1,3626;Não prioritário;1,5352;-1,4752;Não prioritário
Porteirinha;MG;37438;-0,04;625525,222;16708,3;Pequenas · estagnadas;1,5252;-1,5652;Não prioritário;1,6609;-1,7009;Não prioritário
Pouso Alegre;MG;152217;1,28;14201205,978;93295,79;Grandes · crescendo;1,1934;0,0866;Prioritário;1,2544;0,0256;Prioritário
Poços de Caldas;MG;163742;0,6;10732908,121;65547,68;Grandes · crescendo;1,1762;-0,5762;Não prioritário;1,2332;-0,6332;Não prioritário
Ribeirão das Neves;MG;329794;0,88;6336695,364;19214,1;Grandes · crescendo;1,0106;-0,1306;Não prioritário;1,0303;-0,1503;Não prioritário
Sabará;MG;129380;0,2;3837192,206;29658,31;Grandes · estagnadas;1,2319;-1,0319;Não prioritário;1,3015;-1,1015;Não prioritário
Salinas;MG;40178;0,22;903694,482;22492,27;Pequenas · estagnadas;1,5085;-1,2885;Não prioritário;1,6404;-1,4204;Não prioritário
Santa Bárbara;MG;30466;0,68;1019088,443;33450,02;Pequenas · crescendo;1,5739;-0,8939;Não prioritário;1,7206;-1,0406;Não prioritário
Santa Luzia;MG;219132;0,66;6608096,77;30155,78;Grandes · crescendo;1,1073;-0,4473;Não prioritário;1,1488;-0,4888;Não prioritário
Santa Rita do Sapucaí;MG;40635;0,61;2514297,658;61875,17;Pequenas · crescendo;1,5058;-0,8958;Não prioritário;1,6372;-1,0272;Não prioritário
Santana do Paraíso;MG;44800;4,23;1250977,727;27923,61;Pequenas · crescendo;1,4827;2,7473;Prioritário;1,6089;2,6211;Prioritário
Santos Dumont;MG;42406;-0,73;1259405,745;29698,76;Pequenas · estagnadas;1,4957;-2,2257;Não prioritário;1,6248;-2,3548;Não prioritário
Sarzedo;MG;36844;3,01;1642521,872;44580,44;Pequenas · crescendo;1,529;1,481;Prioritário;1,6655;1,3445;Prioritário
Sete Lagoas;MG;227397;0,5;14904465,169;65543,81;Grandes · crescendo;1,0985;-0,5985;Não prioritário;1,1381;-0,6381;Não prioritário
São Francisco;MG;52762;-0,17;859288,93;16286,13;Pequenas · estagnadas;1,444;-1,614;Não prioritário;1,5615;-1,7315;Não prioritário
São Gotardo;MG;40910;2,12;1555360,957;38019,09;Pequenas · crescendo;1,5042;0,6158;Prioritário;1,6352;0,4848;Prioritário
São Joaquim de Bicas;MG;34348;2,5;1065143,955;31010,36;Pequenas · crescendo;1,5456;0,9544;Prioritário;1,6859;0,8141;Prioritário
São João del Rei;MG;90225;0,55;3505345,575;38851,16;Grandes · crescendo;1,3171;-0,7671;Não prioritário;1,406;-0,856;Não prioritário
São Lourenço;MG;44798;0,61;1412019,982;31519,71;Pequenas · crescendo;1,4827;-0,8727;Não prioritário;1,6089;-0,9989;Não prioritário
São Sebastião do Paraíso;MG;71796;0,83;2834250,036;39476,43;Grandes · crescendo;1,3712;-0,5412;Não prioritário;1,4722;-0,6422;Não prioritário
Taiobeiras;MG;33050;0,54;705372,64;21342,59;Pequenas · crescendo;1,5547;-1,0147;Não prioritário;1,697;-1,157;Não prioritário
Teófilo Otoni;MG;137418;0,16;3540247,727;25762,62;Grandes · estagnadas;1,2176;-1,0576;Não prioritário;1,284;-1,124;Não prioritário
Timóteo;MG;81579;0,03;4648991,987;56987,61;Grandes · estagnadas;1,341;-1,311;Não prioritário;1,4352;-1,4052;Não prioritário
Três Corações;MG;75485;0,31;3568709,809;47277,07;Grandes · estagnadas;1,3593;-1,0493;Não prioritário;1,4577;-1,1477;Não prioritário
Três Pontas;MG;55255;0,21;2288500,376;41417,07;Pequenas · estagnadas;1,4331;-1,2231;Não prioritário;1,5481;-1,3381;Não prioritário
Uberaba;MG;337836;1,11;23689376,514;70120,94;Grandes · crescendo;1,0049;0,1051;Prioritário;1,0233;0,0867;Prioritário
Uberlândia;MG;713224;1,39;51065684,136;71598,38;Grandes · crescendo;0,8281;0,5619;Prioritário;0,8068;0,5832;Prioritário
Ubá;MG;103365;0,15;4462211,846;43169,47;Grandes · estagnadas;1,285;-1,135;Não prioritário;1,3666;-1,2166;Não prioritário
Unaí;MG;86619;0,93;5221529,413;60281,57;Grandes · crescendo;1,3268;-0,3968;Não prioritário;1,4178;-0,4878;Não prioritário
Varginha;MG;136467;0,86;10068568,198;73780,24;Grandes · crescendo;1,2193;-0,3593;Não prioritário;1,2861;-0,4261;Não prioritário
Vespasiano;MG;129246;1,79;3619030,727;28049,94;Grandes · crescendo;1,2321;0,5579;Prioritário;1,3018;0,4882;Prioritário
Visconde do Rio Branco;MG;39160;0,26;2052277,555;52407,5;Pequenas · estagnadas;1,5146;-1,2546;Não prioritário;1,6479;-1,3879;Não prioritário
Viçosa;MG;76430;0,47;2234763,919;29239,36;Grandes · crescendo;1,3564;-0,8864;Não prioritário;1,4541;-0,9841;Não prioritário
Várzea da Palma;MG;33744;-0,49;1351753,57;40059,08;Pequenas · estagnadas;1,5498;-2,0398;Não prioritário;1,691;-2,181;Não prioritário
Alta Floresta;MT;58613;1,48;3034592,885;51773,38;Pequenas · crescendo;1,4192;0,0608;Prioritário;1,531;-0,051;Não prioritário
Barra do Garças;MT;69210;1,73;3537695,616;51115,38;Grandes · crescendo;1,3799;0,3501;Prioritário;1,4828;0,2472;Prioritário
Campo Novo do Parecis;MT;45899;4,34;7917232,816;172492,49;Pequenas · crescendo;1,477;2,863;Prioritário;1,6018;2,7382;Prioritário
Campo Verde;MT;44585;2,98;5099105,108;114368,18;Pequenas · crescendo;1,4839;1,4961;Prioritário;1,6103;1,3697;Prioritário
Colíder;MT;31370;0,15;1958222,209;62423,4;Pequenas · estagnadas;1,567;-1,417;Não prioritário;1,7122;-1,5622;Não prioritário
Confresa;MT;35075;2,82;1967776,07;56101,95;Pequenas · crescendo;1,5406;1,2794;Prioritário;1,6798;1,1402;Prioritário
Cuiabá;MT;650877;1,36;39050753,124;59997,13;Grandes · crescendo;0,8498;0,5102;Prioritário;0,8333;0,5267;Prioritário
Cáceres;MT;89681;0,17;2795729,007;31174,15;Grandes · estagnadas;1,3186;-1,1486;Não prioritário;1,4077;-1,2377;Não prioritário
Guarantã do Norte;MT;31024;-0,31;1286329,067;41462,39;Pequenas · estagnadas;1,5696;-1,8796;Não prioritário;1,7154;-2,0254;Não prioritário
Jaciara;MT;28569;0,83;1711568,286;59909,98;Pequenas · crescendo;1,5891;-0,7591;Não prioritário;1,7393;-0,9093;Não prioritário
Juara;MT;34906;0,52;1859025,469;53258,05;Pequenas · crescendo;1,5418;-1,0218;Não prioritário;1,6812;-1,1612;Não prioritário
Juína;MT;45869;1,3;1845535,594;40234,92;Pequenas · crescendo;1,4772;-0,1772;Não prioritário;1,602;-0,302;Não prioritário
Lucas do Rio Verde;MT;83798;5,21;8238966,09;98319,36;Grandes · crescendo;1,3346;3,8754;Prioritário;1,4274;3,7826;Prioritário
Nova Mutum;MT;55839;4,85;7647129,14;136949,61;Pequenas · crescendo;1,4306;3,4194;Prioritário;1,545;3,305;Prioritário
Peixoto de Azevedo;MT;32714;0,46;1146389,168;35042,77;Pequenas · crescendo;1,5571;-1,0971;Não prioritário;1,7;-1,24;Não prioritário
Poconé;MT;31217;-0,17;861874,49;27609,14;Pequenas · estagnadas;1,5682;-1,7382;Não prioritário;1,7136;-1,8836;Não prioritário
Pontes e Lacerda;MT;52018;1,92;2856804,986;54919,55;Pequenas · crescendo;1,4474;0,4726;Prioritário;1,5656;0,3544;Prioritário
Primavera do Leste;MT;85146;4,19;8571209,082;100664,85;Grandes · crescendo;1,3308;2,8592;Prioritário;1,4228;2,7672;Prioritário
Querência;MT;26769;6,18;3771292,384;140882,83;Pequenas · crescendo;1,6045;4,5755;Prioritário;1,7581;4,4219;Prioritário
Rondonópolis;MT;244911;1,89;16568249,913;67650,08;Grandes · crescendo;1,081;0,809;Prioritário;1,1166;0,7734;Prioritário
Sapezal;MT;28944;3,99;6410246,748;221470,66;Pequenas · crescendo;1,5861;2,4039;Prioritário;1,7355;2,2545;Prioritário
Sinop;MT;196312;4,7;11736046,947;59782,63;Grandes · crescendo;1,1333;3,5667;Prioritário;1,1807;3,5193;Prioritário
Sorriso;MT;110635;4,35;13748756,925;124271,31;Grandes · crescendo;1,2689;3,0811;Prioritário;1,3469;3,0031;Prioritário
Tangará da Serra;MT;106434;1,98;5602199,726;52635,43;Grandes · crescendo;1,2781;0,7019;Prioritário;1,3581;0,6219;Prioritário
Várzea Grande;MT;300078;1,45;13984217,795;46601,94;Grandes · crescendo;1,0329;0,4171;Prioritário;1,0577;0,3923;Prioritário
Água Boa;MT;29219;2,85;2479715,078;84866,53;Pequenas · crescendo;1,5838;1,2662;Prioritário;1,7327;1,1173;Prioritário
Almirante Tamandaré;PR;119825;1,25;2242619,546;18715,79;Grandes · crescendo;1,25;0;Não prioritário;1,3237;-0,0737;Não prioritário
Apucarana;PR;130134;0,61;4834012,856;37146,42;Grandes · crescendo;1,2305;-0,6205;Não prioritário;1,2998;-0,6898;Não prioritário
Arapongas;PR;119138;1,13;5715471,043;47973,54;Grandes · crescendo;1,2514;-0,1214;Não prioritário;1,3254;-0,1954;Não prioritário
Araucária;PR;151666;2,03;34075051,609;224671,66;Grandes · crescendo;1,1943;0,8357;Prioritário;1,2554;0,7746;Prioritário
Assis Chateaubriand;PR;36808;0,9;2033730,672;55252,41;Pequenas · crescendo;1,5292;-0,6292;Não prioritário;1,6658;-0,7658;Não prioritário
Bandeirantes;PR;31273;-0,24;1362233,291;43559,41;Pequenas · estagnadas;1,5677;-1,8077;Não prioritário;1,713;-1,953;Não prioritário
Cambé;PR;107208;0,84;6771172,732;63159,21;Grandes · crescendo;1,2764;-0,4364;Não prioritário;1,356;-0,516;Não prioritário
Campina Grande do Sul;PR;47825;1,76;2871767,402;60047,41;Pequenas · crescendo;1,4673;0,2927;Prioritário;1,5899;0,1701;Prioritário
Campo Largo;PR;136327;1,64;7070392,747;51863,48;Grandes · crescendo;1,2195;0,4205;Prioritário;1,2863;0,3537;Prioritário
Campo Magro;PR;30160;1,63;700582,723;23228,87;Pequenas · crescendo;1,5763;0,0537;Prioritário;1,7236;-0,0936;Não prioritário
Campo Mourão;PR;99432;1,1;5991907,747;60261,36;Grandes · crescendo;1,2942;-0,1942;Não prioritário;1,3778;-0,2778;Não prioritário
Cascavel;PR;348051;1,64;19204178,185;55176,33;Grandes · crescendo;0,9978;0,6422;Prioritário;1,0147;0,6253;Prioritário
Castro;PR;73075;0,72;4517500,842;61820,06;Grandes · crescendo;1,367;-0,647;Não prioritário;1,4671;-0,7471;Não prioritário
Cianorte;PR;79527;1,07;3986696,636;50130,1;Grandes · crescendo;1,347;-0,277;Não prioritário;1,4425;-0,3725;Não prioritário
Colombo;PR;232212;0,72;7628974,586;32853,49;Grandes · crescendo;1,0936;-0,3736;Não prioritário;1,132;-0,412;Não prioritário
Cornélio Procópio;PR;45206;-0,31;2382241,244;52697,46;Pequenas · estagnadas;1,4806;-1,7906;Não prioritário;1,6063;-1,9163;Não prioritário
Curitiba;PR;1773718;0,1;120065276,017;67691,3;Grandes · estagnadas;0,6127;-0,5127;Não prioritário;0,5427;-0,4427;Não prioritário
Dois Vizinhos;PR;44869;1,81;2609172,747;58150,9;Pequenas · crescendo;1,4824;0,3276;Prioritário;1,6084;0,2016;Prioritário
Fazenda Rio Grande;PR;148873;5,13;4139460,922;27805,32;Grandes · crescendo;1,1987;3,9313;Prioritário;1,2608;3,8692;Prioritário
Foz do Iguaçu;PR;285415;0,91;16973250,994;59468,67;Grandes · crescendo;1,0448;-0,1348;Não prioritário;1,0722;-0,1622;Não prioritário
Francisco Beltrão;PR;96666;1,7;4525403,384;46814,84;Grandes · crescendo;1,3008;0,3992;Prioritário;1,386;0,314;Prioritário
Guarapuava;PR;182093;0,7;9864113,348;54170,74;Grandes · crescendo;1,1511;-0,4511;Não prioritário;1,2025;-0,5025;Não prioritário
Guaratuba;PR;42062;2,28;1220949,312;29027,37;Pequenas · crescendo;1,4976;0,7824;Prioritário;1,6271;0,6529;Prioritário
Guaíra;PR;32097;0,37;1438846,331;44828,06;Pequenas · crescendo;1,5616;-1,1916;Não prioritário;1,7055;-1,3355;Não prioritário
Ibiporã;PR;51603;0,57;4037854,555;78248,45;Pequenas · crescendo;1,4493;-0,8793;Não prioritário;1,5679;-0,9979;Não prioritário
Irati;PR;59250;0,44;2816144,413;47529,86;Pequenas · crescendo;1,4166;-0,9766;Não prioritário;1,5279;-1,0879;Não prioritário
Itaperuçu;PR;31217;2,2;799717,726;25618,02;Pequenas · crescendo;1,5682;0,6318;Prioritário;1,7136;0,4864;Prioritário
Ivaiporã;PR;32720;0,22;1142266,373;34910,34;Pequenas · estagnadas;1,557;-1,337;Não prioritário;1,6999;-1,4799;Não prioritário
Jacarezinho;PR;40375;0,26;1956993,425;48470,43;Pequenas · estagnadas;1,5073;-1,2473;Não prioritário;1,639;-1,379;Não prioritário
Jaguariaíva;PR;35141;0,63;2062534,661;58693,11;Pequenas · crescendo;1,5402;-0,9102;Não prioritário;1,6793;-1,0493;Não prioritário
